project_code,project_name,sector,agency,state,physical_progress_pct,pace_pct_per_month,risk_score,risk_tier,cost_original_cr,cost_final_expected_cr,cost_variance_cr,cost_variance_pct,cost_estimate_confidence,date_approval,date_original,date_revised,date_agency_says,date_projected_p50,date_projected_p80,date_confidence,prob_finish_3mo_pct,prob_finish_12mo_pct,slip_declared_mo,slip_p50_mo,slip_p80_mo,benchmark_status,cohort_basis,why
N42000001,CONSTRUCTION AND DEVELOPMENT OF NATINAL INSTITUTE OF TECHNOLOGY MEGHALAYA PERMANENT CAMPUS AT SOHRA,DEPARTMENT OF HIGHER EDUCATION,RITES OF HIGHER,MEGHALAYA,84.0,0.94,87.4,Critical,484.3,494.5,10.2,2.1,low - flagged for escalation,Sep-2013,Sep-2014,Jul-2025,Jul-2025,Jul-2025,Jan-2026,extrapolation - unverifiable beyond 1 year,5.8,21.1,130.0,130.6,136.6,exhausted - already later than the typical completed project,all-sector fallback,agency anticipates +15% over approved cost; 10.7y past original commissioning date; pace is 6% of what the current date needs
N18000379,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART E2,POWER,PGCIL,RAJASTHAN,45.0,4.11,87.1,Critical,428.0,428.0,0.0,0.0,low - flagged for escalation,Nov-2023,Jun-2025,,Sep-2025,Mar-2028,Jul-2029,extrapolation - unverifiable beyond 1 year,0.6,2.3,0.0,33.0,49.0,within benchmark range,sector,agency's own forecast is 3 months past its approved date
N24001539,IMPHAL - KHONGSANG PKG-6,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,78.2,3.19,87.0,Critical,504.8,504.8,0.0,0.0,low - flagged for escalation,Dec-2021,Feb-2025,Sep-2025,Dec-2025,Feb-2028,Jun-2030,extrapolation - unverifiable beyond 1 year,0.2,0.6,7.0,36.0,64.0,within benchmark range,sector,agency's own forecast is 3 months past its approved date; 4 months past original date; pace is 44% of what the current date needs
N24001861,CONSTRUCTION OF BYPASS TO KHORDHA TOWN FROM KM 294/000 TO 300/300 ON NH-57 INCLUDING LA IN THE STATE,ROAD TRANSPORT AND HIGHWAYS,MORTH,ODISHA,54.0,4.25,86.8,Critical,157.5,157.5,0.0,0.0,low - flagged for escalation,Feb-2022,Nov-2024,Aug-2025,Aug-2025,Nov-2027,Mar-2030,extrapolation - unverifiable beyond 1 year,0.6,2.4,9.0,36.0,64.0,within benchmark range,sector,7 months past original date; pace is 19% of what the current date needs; date already moved 3x in 10 months
N24001528,WIDENING OF PACHPADRA-BAGUNDI SECTION TO 4 LANE FROM KM 73/60 TO 95/70 OF NH-25 ON EPC MODE IN THE,ROAD TRANSPORT AND HIGHWAYS,MORTH,RAJASTHAN,83.0,2.59,86.8,Critical,194.9,194.9,0.0,0.0,low - flagged for escalation,Jan-2022,Dec-2024,Aug-2025,Aug-2025,Dec-2027,Apr-2030,extrapolation - unverifiable beyond 1 year,1.0,4.1,8.0,36.0,64.0,within benchmark range,sector,6 months past original date; pace is 30% of what the current date needs; date already moved 3x in 10 months
N18000352,TRANSMISSION SYSTEM FOR KURNOOL WIND ENERGY ZONE SOLAR ENERGY ZONE (AP) PART-A PART B,POWER,PGCIL,MULTI STATE,94.0,5.33,86.7,Critical,3546.9,3546.9,0.0,0.0,low - flagged for escalation,Mar-2023,Nov-2024,,Sep-2025,Aug-2027,Dec-2028,extrapolation - unverifiable beyond 1 year,3.9,14.7,0.0,33.0,49.0,within benchmark range,sector,agency's own forecast is 10 months past its approved date; 7 months past original date
N24001453,IMPHAL - KHONGSANG PKG-4,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,72.5,1.84,86.6,Critical,579.6,579.6,0.0,0.0,low - flagged for escalation,Aug-2021,Dec-2023,Jul-2025,Dec-2025,Dec-2026,Apr-2029,extrapolation - unverifiable beyond 1 year,0.2,0.8,19.0,36.0,64.0,within benchmark range,sector,agency's own forecast is 5 months past its approved date; 18 months past original date; pace is 7% of what the current date needs
N24001735,6L ACCESS CONTROL GREENFIELD HIGHWAY OF VILL-KHYAWARI TO VILL- LATIFPUR AT SAHARANPUR BYPASS FROM KM,ROAD TRANSPORT AND HIGHWAYS,NHAI,UTTAR PRADESH,89.5,2.13,86.6,Critical,1428.2,1428.2,0.0,0.0,low - flagged for escalation,Mar-2022,Aug-2024,,Jul-2025,Aug-2027,Dec-2029,extrapolation - unverifiable beyond 1 year,0.8,3.0,0.0,36.0,64.0,within benchmark range,sector,agency's own forecast is 11 months past its approved date; 10 months past original date
N24001473,CONSTRUCTION OF 2-LANING WITH HARD SHOULDER ROAD OF UKHRUL - TOLOI - TADUBI SECTION OF NH-102A FROM,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,96.8,1.56,86.5,Critical,310.8,310.8,0.0,0.0,low - flagged for escalation,Sep-2021,Feb-2024,Mar-2025,Jul-2025,Feb-2027,Jun-2029,extrapolation - unverifiable beyond 1 year,2.3,8.9,12.9,36.0,64.0,within benchmark range,sector,agency's own forecast is 4 months past its approved date; 16 months past original date; no physical progress for 3 consecutive reports
N22000583,JANGHAI PRATAPGARH AMETHI DOUBLING,RAILWAYS,NR,UTTAR PRADESH,70.0,4.44,86.2,Critical,702.0,1100.0,398.0,56.7,low - flagged for escalation,Nov-2017,Mar-2025,,Dec-2025,Dec-2025,May-2030,extrapolation - unverifiable beyond 1 year,3.1,11.9,0.0,9.0,62.1,within benchmark range,sector,agency's own forecast is 9 months past its approved date; agency anticipates +52% over approved cost; 3 months past original date
N24001974,CONSTRUCTION OF 2-LANING WITH HARD SHOULDER ROAD OF UKHRUL - TOLOI - TADUBI SECTION OF NH-102A FROM,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,88.7,3.82,85.5,Critical,315.6,315.6,0.0,0.0,low - flagged for escalation,Sep-2021,Jan-2025,Aug-2025,Aug-2025,Jan-2028,May-2030,extrapolation - unverifiable beyond 1 year,0.7,2.6,7.0,36.0,64.0,within benchmark range,sector,5 months past original date; date already moved 3x in 10 months
N18000357,ESTABLISHMENT OF KHAVDA POOLING STATION 3 (KPS3) IN KHAVDA RE PARK,POWER,PGCIL,GUJARAT,90.5,6.5,85.3,Critical,922.3,922.3,0.0,0.0,low - flagged for escalation,Mar-2023,Dec-2024,,Jul-2025,Sep-2027,Dec-2028,extrapolation - unverifiable beyond 1 year,2.6,10.1,0.0,33.0,49.0,within benchmark range,sector,agency's own forecast is 7 months past its approved date; 6 months past original date
N18000010,TEHRI PUMPED STORAGE PLANT(1000MW),POWER,THDCIL,UTTARAKHAND,98.3,0.09,85.3,Critical,1657.0,8182.0,6525.0,393.8,low - flagged for escalation,Jul-2006,Jul-2010,Jun-2022,Sep-2025,Sep-2025,Mar-2026,extrapolation - unverifiable beyond 1 year,1.7,6.6,143.0,182.0,188.0,exhausted - already later than the typical completed project,sector,agency's own forecast is 39 months past its approved date; agency anticipates +70% over approved cost; 14.9y past original commissioning date
N24001573,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N) (PKG-09) (CH. 247.310 TO CH. 292.950) [JUNCTION WITH M,ROAD TRANSPORT AND HIGHWAYS,NHAI,RAJASTHAN,99.9,0.0,84.6,Critical,1658.1,1658.1,0.0,0.0,low - flagged for escalation,Nov-2019,Dec-2022,Jul-2025,Jul-2025,Jul-2025,Jan-2026,near-term - validated (avg error ~6 months),21.4,61.9,31.0,31.0,37.0,within benchmark range,sector,2.5y past original commissioning date; no physical progress for 9 consecutive reports; pace is 0% of what the current date needs
N24001443,CONSTRUCTION OF FOUR LANE EXPRESSWAY FROM START OF SARDAR PATEL RING ROAD TO SINDHREJ VILLAGE (CH. 0,ROAD TRANSPORT AND HIGHWAYS,NHAI,GUJARAT,94.2,1.81,84.6,Critical,690.3,930.0,239.7,34.7,low - flagged for escalation,May-2020,Mar-2024,Jul-2025,Jul-2025,Mar-2027,Jul-2029,extrapolation - unverifiable beyond 1 year,0.9,3.5,16.0,36.0,64.0,within benchmark range,sector,15 months past original date; pace is 31% of what the current date needs; date already moved 3x in 10 months
N24000784,6-LANING OF KOZHIKODE BYPASS (CALICUT BYPASS) (I.E. VENGALAM JN. TO RAMANATTUKARA JN.) SECTION OF NH,ROAD TRANSPORT AND HIGHWAYS,NHAI,KERALA,95.5,1.89,84.4,Critical,1424.8,2066.0,641.2,45.0,low - flagged for escalation,Feb-2018,Feb-2023,Dec-2024,Jul-2025,Feb-2026,Jun-2028,extrapolation - unverifiable beyond 1 year,1.9,7.3,22.0,36.0,64.0,within benchmark range,sector,agency's own forecast is 7 months past its approved date; 2.3y past original commissioning date
N22000514,DHULE (BORVIHIR)-NARDANA (UMBRELLA WORK),RAILWAYS,CR,MAHARASHTRA,5.0,0.0,84.4,Critical,492.8,1159.0,666.2,135.2,low - flagged for escalation,Jan-2019,Dec-2026,,Mar-2028,Mar-2028,Jul-2032,extrapolation - unverifiable beyond 1 year,0.5,2.1,0.0,15.0,67.4,within benchmark range,sector,agency's own forecast is 15 months past its approved date; agency anticipates +135% over approved cost; no physical progress for 9 consecutive reports
N22000489,KHARSIA DHARAMJAIGARH WITH SPUR LINE EAST CORRIDOR-PHASE I,RAILWAYS,IRCON,CHHATTISGARH,93.0,0.09,84.2,Critical,3055.0,3438.4,383.4,12.5,low - flagged for escalation,Apr-2013,Sep-2018,,Mar-2026,Mar-2026,Aug-2026,extrapolation - unverifiable beyond 1 year,1.0,4.0,0.0,89.9,95.9,exhausted - already later than the typical completed project,sector,agency's own forecast is 90 months past its approved date; agency anticipates +13% over approved cost; 6.7y past original commissioning date
N24000723,REHABILITATION AND UPGRADATION OF TWO LANING OF MAHESHKHUNT - SAHARSA - PURNEA SECTION PKG - I,ROAD TRANSPORT AND HIGHWAYS,NHAI,BIHAR,82.5,0.8,84.2,Critical,573.7,727.0,153.3,26.7,low - flagged for escalation,Jan-2018,Dec-2021,Aug-2025,Dec-2025,Dec-2025,Aug-2027,extrapolation - unverifiable beyond 1 year,1.7,6.5,44.0,48.0,68.0,exhausted - already later than the typical completed project,sector,agency's own forecast is 4 months past its approved date; agency anticipates +13% over approved cost; 3.5y past original commissioning date
N18000374,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART H,POWER,PGCIL,RAJASTHAN,69.4,5.54,83.9,Critical,2211.0,2211.0,0.0,0.0,low - flagged for escalation,Oct-2023,Apr-2025,,Aug-2025,Dec-2027,May-2029,extrapolation - unverifiable beyond 1 year,0.7,2.8,0.0,33.0,49.0,within benchmark range,sector,agency's own forecast is 4 months past its approved date; 2 months past original date
N24001734,6L ACCESS CONTROL GREENFIELD HIGHWAY OF VILL-LOHADDA TO VILL- KARAUNDA MAHAJAN FROM KM. 27.000 TO KM.,ROAD TRANSPORT AND HIGHWAYS,NHAI,UTTAR PRADESH,85.0,2.06,83.9,Critical,1335.4,1335.4,0.0,0.0,low - flagged for escalation,Mar-2022,Aug-2024,,Jul-2025,Aug-2027,Dec-2029,extrapolation - unverifiable beyond 1 year,0.7,2.7,0.0,36.0,64.0,within benchmark range,sector,agency's own forecast is 11 months past its approved date; 10 months past original date
N04000078,CONSTRUCTION OF TERMINAL BUILDING AND ASSOCIATED WORKS AT LEH AIRPORT,CIVIL AVIATION,AAI,LADAKH,65.9,0.79,83.1,Critical,480.3,640.0,159.7,33.3,low - flagged for escalation,Jul-2018,Sep-2021,Oct-2025,Oct-2025,Oct-2025,Dec-2026,extrapolation - unverifiable beyond 1 year,2.3,9.0,49.0,49.0,63.8,exhausted - already later than the typical completed project,all-sector fallback,3.7y past original commissioning date; pace is 9% of what the current date needs
N24001271,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- 2B),ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,77.7,0.04,82.9,Critical,365.5,365.5,0.0,0.0,low - flagged for escalation,Jun-2020,Aug-2022,Jun-2025,Oct-2025,Oct-2025,Jan-2028,extrapolation - unverifiable beyond 1 year,9.0,31.4,34.0,38.0,65.8,within benchmark range,sector,agency's own forecast is 4 months past its approved date; 2.8y past original commissioning date; date already moved 2x in 10 months
N18000389,TS FOR EVACUATION OF POWER FROM REZ IN RAJASTHAN (20GW) UNDER PH-III PART D [SIKAR KHETRI TRANSMISSI,POWER,PGCIL,RAJASTHAN,58.0,5.61,82.9,Critical,2000.0,2000.0,0.0,0.0,low - flagged for escalation,Feb-2024,Aug-2025,,Sep-2025,May-2028,Aug-2029,extrapolation - unverifiable beyond 1 year,0.7,2.7,0.0,33.0,49.0,within benchmark range,sector,pace is 27% of what the current date needs
N24001401,IMPHAL - KHONGSANG PKG-3,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,79.8,0.51,82.9,Critical,467.0,467.0,0.0,0.0,low - flagged for escalation,Jul-2021,Mar-2023,Mar-2025,Oct-2025,Mar-2026,Jun-2028,extrapolation - unverifiable beyond 1 year,1.5,5.8,24.0,36.0,64.0,within benchmark range,sector,agency's own forecast is 7 months past its approved date; 2.3y past original commissioning date
N04000094,DEVELOPMENT OF AYODHYA AIRPORT PHASE-01,CIVIL AVIATION,AAI,UTTAR PRADESH,99.9,0.0,82.7,Critical,242.1,358.0,115.9,47.9,low - flagged for escalation,Mar-2021,Dec-2022,Jul-2025,Jul-2025,Oct-2025,Mar-2028,extrapolation - unverifiable beyond 1 year,5.3,19.5,31.0,34.0,63.8,within benchmark range,all-sector fallback,agency anticipates +9% over approved cost; 2.5y past original commissioning date; no physical progress for 9 consecutive reports
N18000042,VISHNUGAD PIPALKOTI HYDRO ELECTRIC PROJECT,POWER,THDCIL,UTTARAKHAND,71.0,0.27,82.5,Critical,2491.6,6823.7,4332.1,173.9,low - flagged for escalation,Aug-2008,Jun-2013,,Mar-2027,Mar-2027,Aug-2027,extrapolation - unverifiable beyond 1 year,1.3,5.2,0.0,164.9,170.9,exhausted - already later than the typical completed project,sector,agency's own forecast is 165 months past its approved date; agency anticipates +77% over approved cost; 12.0y past original commissioning date
N18000373,"TS FOR EVACUATION OF POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III, PART E1",POWER,PGCIL,RAJASTHAN,93.0,7.39,82.4,Critical,688.7,688.7,0.0,0.0,low - flagged for escalation,Aug-2023,Feb-2025,,Sep-2025,Nov-2027,Mar-2029,extrapolation - unverifiable beyond 1 year,1.1,4.1,0.0,33.0,49.0,within benchmark range,sector,agency's own forecast is 7 months past its approved date; 4 months past original date
N24001664,SIX LANING OF CHENGALA TO NEELESHWARAM SECTION OF NH-17 (NEW NH-66) FROM CH. 56+200 (EXISTING KM 57+,ROAD TRANSPORT AND HIGHWAYS,NHAI,KERALA,79.2,1.91,82.4,Critical,1746.4,2538.1,791.7,45.3,low - flagged for escalation,Jun-2020,Apr-2024,Oct-2021,Mar-2026,Apr-2027,Aug-2029,extrapolation - unverifiable beyond 1 year,0.2,0.9,-30.0,36.0,64.0,within benchmark range,sector,agency's own forecast is 53 months past its approved date; 14 months past original date
N24001269,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- IB),ROAD TRANSPORT AND HIGHWAYS,NHIDCL,ASSAM,87.0,0.73,82.3,Critical,216.5,241.5,25.0,11.5,low - flagged for escalation,Mar-2020,Mar-2022,Jun-2025,Aug-2025,Aug-2025,Jul-2027,extrapolation - unverifiable beyond 1 year,2.4,9.3,39.0,41.0,64.7,exhausted - already later than the typical completed project,sector,agency's own forecast is 2 months past its approved date; 3.3y past original commissioning date; date already moved 2x in 10 months
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,POWER,PGCIL,RAJASTHAN,75.7,6.19,82.3,Critical,2191.0,2191.0,0.0,0.0,low - flagged for escalation,Sep-2023,Apr-2025,,Sep-2025,Dec-2027,May-2029,extrapolation - unverifiable beyond 1 year,0.9,3.4,0.0,33.0,49.0,within benchmark range,sector,agency's own forecast is 5 months past its approved date; 2 months past original date
