project_code,project_name,sector,agency,state,cost_cr,physical_progress_pct,risk_score,tier,why
618104,Widening to two lane with paved shoulders from Km 0/000 to Km 79/300 of Kalwakurthy - Kollapur section of NH-167K in the state of Telangana under annual plan 2021-22 on EPC mode under NHO.,Roads & Highways,morth,Telangana,886.69,90.05,90.6,Critical,12 months past original date; needs 9.8%/month to hit current date
619307,4L of Munger Mirzachauki section from Km 157350 to Km 193931 Pkg-4,Roads & Highways,nhai,"Multi-States (Bihar, Jharkhand)",1481.58,92.74,90.6,Critical,23 months past original date; needs 7.1%/month to hit current date
618089,Rehabilitation & Up-gradation of Mudkhed to Nanded section from Km. 372000 to Km 388400 of NH 161A i.e. Nanded-Bhokar-Himayatnagar-Kinwat-Mahur-Arani Road Design chainage from Km 372000 Mudkhed to Km 387650 Nanded of NH 161A Length 15.65 Km to 2/4Lane with paved shoulders configuration in the State of Maharashtra on EPC mode.,Roads & Highways,morth,Maharashtra,206.54,65.14,90.4,Critical,15 months past original date; needs 11.5%/month to hit current date
618055,Construction of Pratapgarh Bypass Extension connecting NH-31 to NH-330 on EPC mode in the State of Uttar Pradesh.,Roads & Highways,morth,Uttar Pradesh,225.17,78.0,90.3,Critical,13 months past original date; needs 10.8%/month to hit current date
618019,Upgradation & widening of Jharkheda- Berasia - Dholkhedi from design km 0000 to km 87900 Design length 87.90km of NH-346 including 3 nos. bypasses of 13.10 Km in the State of Madhya Pradesh under EPC mode.,Roads & Highways,morth,Madhya Pradesh,365.21,91.0,90.2,Critical,14 months past original date
618554,Construction of left out portion of Agra Inner Ring Road connecting village Deori to NH-44 village Bad from Km. 0.000 to Km. 7.772,Roads & Highways,nhai,Uttar Pradesh,787.58,94.0,90.2,Critical,22 months past original date; needs 5.9%/month to hit current date
618632,6L Access Controlled Greenfield Highway of Nandinne village to Julekal village from Km 202.900 to Km 242.200 Pkg-1,Roads & Highways,nhai,"Multi-States (Karnataka, Telangana)",1044.06,93.79,90.0,Critical,18 months past original date; needs 6.1%/month to hit current date
618505,Additional Structures on 6LGurgaon-Jaipur Section of NH-48 between KM 42.700 to KM 273.00,Roads & Highways,nhai,"Multi-States (Haryana, Rajasthan)",290.64,88.9,89.9,Critical,"2.1y past original commissioning date; already rescheduled, 2.2y slip declared; needs 10.9%/month to hit current date"
618472,Vadodara Mumbai Expressway Phase II - Pkg XVI [Km. 43.000 to Km. 69.800 of Spur] Amne - Bhoj,Roads & Highways,nhai,Maharashtra,4315.56,95.5,89.9,Critical,21 months past original date
618224,Rehabilitation and up-gradation to 2 lane with paved shoulder from existing chainage km 49150 to km 64535 Design chainage km 46.450 to km 55.800 including construction of Sungal Tunnel Total length of Tunnel 2.79 km under 13 TF on Akhnoor-Poonch road NH-144A under Project Sampark BRO in the UT of Jammu & Kashmir on EPC mode Package-II Job no NH-144A-J&K-2019-20-78,Roads & Highways,morth,Jammu and Kashmir,796.97,92.1,89.8,Critical,23 months past original date; needs 7.8%/month to hit current date
619101,4L Shahpur to Muktainagar from Km. 186.000 to km 216.278 of NH 753L Pkg II of Boregaon Buzurg to Muktainagar,Roads & Highways,nhai,"Multi-States (Madhya Pradesh, Maharashtra)",659.52,64.0,89.8,Critical,4 months past original date; needs 11.9%/month to hit current date
618471,Vadodara Mumbai Expressway Phase II - Pkg XV [Km. 20.200 to Km. 43.000 of Spur] Akloli - Amne,Roads & Highways,nhai,Maharashtra,2918.39,94.6,89.6,Critical,"2.2y past original commissioning date; already rescheduled, 2.3y slip declared; cost already revised +12%"
618353,Widening & Upgradation to 2-lanes with paved shoulders road from Tamenglong to Mahur NH-137 in the State of Assam starting from km 116.480 near Hangrum to km 136.500 near Hejaichak Package-8 on EPC mode under NHO-NE Package 8,Roads & Highways,nhidcl,Assam,904.04,85.2,89.5,Critical,11 months past original date; needs 7.3%/month to hit current date
618024,Up-gradation to two lane with paved shoulder configuration of NH-354 Section Arifkes- Ferozepur-Muktsar-Malaut from Km 201.500 to Km 212.500 & Km 229.690 to Km 269.960 and strengthening of existing pavement from Km 212.500 to Km 229.690 excluding Km 218.500 to 223.690 of NH-354 on EPC Mode in the State of Punjab. Job No. NH-354-PB-2020-21-532,Roads & Highways,morth,Punjab,263.19,83.0,89.3,Critical,15 months past original date; needs 8.3%/month to hit current date
619155,Upgradation and 4L of Haridwar Bypass from Km 0.000 Km 188.100 of NH-58 to Km. 15.100 Km 5.100 of NH 74 PKg-1,Roads & Highways,nhai,Uttarakhand,1423.89,80.36,89.3,Critical,"21 months past original date; already rescheduled, 2.1y slip declared"
618917,4L Greenfield starting from NH-30 near Saristabad Patna to Nathupur Project end point of Patna-Gaya-Dobhi Section of NH-83,Roads & Highways,nhai,Bihar,419.66,88.3,89.0,Critical,11 months past original date; needs 5.7%/month to hit current date
619289,4L of Munger Mirzachauki section from Munger to Kharia village junction from Km 69520 to Km 95580 Pkg-1,Roads & Highways,nhai,Bihar,1696.66,82.72,88.8,Critical,"2.3y past original commissioning date; already rescheduled, 2.6y slip declared; needs 5.7%/month to hit current date"
618621,Indore - Edlabad Pkg-II [Tejajinagar to Balwara],Roads & Highways,nhai,Madhya Pradesh,1530.82,87.3,88.6,Critical,18 months past original date; cost already revised +32%
617925,Construction of Bypass to Khordha town from Km 294/000 to 300/300 on NH-57 including LA in the State of Odisha on EPC mode.,Roads & Highways,morth,Odisha,157.49,92.0,88.3,Critical,20 months past original date; needs 7.9%/month to hit current date
618003,Construction of four lane ROB and its approaches in lieu of existing Level Crossing No. RV-71 at km 435 on NH-217 New NH-353 at Khariar including land acquisition under NHO in Annual Plan 2021-22 for the state of Odisha for F.Y. 2021-22 to F.Y 2033-34,Roads & Highways,morth,Odisha,154.49,90.0,88.1,Critical,19 months past original date
618147,Widening to 2 Lane with Paved Shoulders from design Km 103.200 Existing Km 103.200 to design Km 116.700 Existing Km 118.470 on AP/KNT Border to Sira Section of NH-544E in the State of Karnatakaon EPC mode under Annual plan 2022- 23,Roads & Highways,morth,Karnataka,166.58,65.0,88.1,Critical,10 months past original date; needs 34.4%/month to hit current date
619154,Construction of Four Lane Highway from Ghazipur- Ballia-UP/Bihar State Border Greenfield section of NH-31 Package III [from Pindari km 78.150 to Rawalganj Bypass Km 117.120] on EPC Mode in the state of Uttar Pradesh.,Roads & Highways,nhai,"Multi-States (Bihar, Uttar Pradesh)",1493.59,86.11,88.0,Critical,11 months past original date
618345,Widening to 2-lane with Hard shoulder of Churachandpur to Tuivai Section from Km 48.587 to Km 69.875 in the State of Manipur on EPC mode under NHO Package-2B,Roads & Highways,nhidcl,Manipur,365.53,88.2,87.8,Critical,"3.9y past original commissioning date; already rescheduled, 4.0y slip declared; needs 11.6%/month to hit current date"
619134,6L of Ambala-Chandigarh greenfield section from Km. 0.000 to Km. 25.000 with 4L spur to Lalru from Km. 0.000 to Km. 5.828 & spur to PR-7 road from Km. 0.000 to Km. 11.157,Roads & Highways,nhai,"Multi-States (Haryana, Punjab)",1904.79,90.01,87.5,Critical,9 months past original date; cost already revised +16%
618351,Widening & Upgradation to 2 lanes with paved shoulders road from Tamenglong to Mahur NH-137 in the State of Assam starting from km 156.489 near P. Leikul to km 176.410 near Borowapu on EPC mode under NHO-NE Assam portion Package-10,Roads & Highways,nhidcl,Assam,693.15,90.5,87.5,Critical,11 months past original date
618263,"Rehabilitation and Up-gradation to 2LPS from Km. 0.000 to Km. 7.800 and Km. 35.400 to Km. 52.345 Design length 24.745 Km., except Bihar portion of NH-727B Tamkuhiraj to Bihar Border and Bihar Border to Majhauli on EPC mode in the State of Uttar Pradesh",Roads & Highways,morth,Uttar Pradesh,701.02,81.18,87.5,Critical,needs 18.5%/month to hit current date
619066,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XIV from Junction with Pathankot- Gurdaspur road NH-54 near Balsua to Junction with Hiranagar Road near village Gurha Baildaran km 423500 to km 468100,Roads & Highways,nhai,"Multi-States (Jammu and Kashmir, Punjab)",3707.91,87.3,87.4,Critical,"22 months past original date; already rescheduled, 2.1y slip declared; cost already revised +22%"
618951,Hariharganj to Parwa Mode section from km 23.284 to km 57.049 of NH-98,Roads & Highways,nhai,"Multi-States (Bihar, Jharkhand)",1186.56,91.3,87.4,Critical,"2.4y past original commissioning date; already rescheduled, 2.5y slip declared; needs 8.5%/month to hit current date"
619132,4/6L of Gurgaon - Pataudi - Rewari from km. 0.00 to km.43.87 of NH-352W,Roads & Highways,nhai,Haryana,1917.5,77.76,87.3,Critical,"2.7y past original commissioning date; already rescheduled, 2.8y slip declared; needs 21.8%/month to hit current date"
618446,Construction & Upgradation of existing road to 2-lane with paved shoulder from New Rolep Bridge at km 37.600 to Chochenpheri at km 52.00 in the section of Rongli to Chochenpheri of NH 717B Pkg-II C,Roads & Highways,nhidcl,Sikkim,478.79,79.13,87.3,Critical,"2.2y past original commissioning date; already rescheduled, 2.3y slip declared; needs 10.2%/month to hit current date"
619183,Widening of Existing Road from Intermediate Lane 2-lane to 4-lane Between Km 19.994 to Km 35.180 of NH-848A Rakholi-Khadoli-Velugam Section in U.T. of Dadra and Nagar Haveli and Daman and Diu,Roads & Highways,morth,Dadra & Nagar Haveli and Daman & Diu,239.57,80.0,87.2,Critical,1 months past original date; cost already revised +21%; needs 19.6%/month to hit current date
618411,Melaghar-Srimantapur section on NH-08 Spur from Km 23 to Km 34.500 11.5 Km and overlay from Km 20.30 to Km 22.00 1.7 Km Total Length 13.2 Km,Roads & Highways,nhidcl,Tripura,195.95,72.48,87.0,Critical,20 months past original date; needs 9.1%/month to hit current date
617965,Kopargaon to Savali Vihir section,Roads & Highways,morth,Maharashtra,195.38,93.45,86.9,Critical,"24 months past original date; already rescheduled, 2.1y slip declared; needs 6.4%/month to hit current date"
618544,"4L twin tube tunnel including approaches from Digdol to Khuni Nallah North Bound connecting with existing major bridge on NB and South Bound connecting with Tunnel T4 ,Single tube tunnel of Ramban to Banihal Pkg-II of Old NH-1A New NH-44",Roads & Highways,nhai,Jammu and Kashmir,1020.99,87.1,86.7,Critical,"2.1y past original commissioning date; spend outruns works by 16pp; already rescheduled, 2.3y slip declared"
618352,Widening & Upgradation to 2 lanes with paved shoulders road from Tamenglong to Mahur NH-137 in the State of Assam starting from km 136.500 near Hejaichak to km 156.489 near P. Leikul Package-9 on EPC mode under NHO-NE Package-9,Roads & Highways,nhidcl,Assam,614.43,87.5,86.5,Critical,11 months past original date; needs 6.1%/month to hit current date
618647,6L Access Controlled Ludhiana-Bathinda Greenfield highway from Jn. with Amritsar- Bathanda Greenfield Road NH-754A near Rampura Phul to Jn. with Moga-Barnala Road NH-703 near village Tallewal from Km 0.0 to Km 30.3 of NH-754AD Pkg-1,Roads & Highways,nhai,Punjab,1020.52,81.5,86.5,Critical,10 months past original date; cost already revised +13%; needs 6.1%/month to hit current date
618303,Widening/Improvement to 2-lane with earthen shoulder of Yaingangpokpi - Finch corner road section of NH-202 from Km 0.000 to Km 16.900 of NH-202 in the state of Manipur on EPC mode Package-1,Roads & Highways,nhidcl,Manipur,222.77,88.96,86.2,Critical,"4.1y past original commissioning date; already rescheduled, 4.2y slip declared; needs 10.8%/month to hit current date"
617921,Widening and strengthening to 2LPS including LA of Kandarpur-Balikuda from km 277/500 to 318/970 of NH-55 in the State of Odisha under Annual Plan 2021-22.,Roads & Highways,morth,Odisha,499.79,66.0,85.8,Critical,13 months past original date; needs 8.4%/month to hit current date
617939,6-Laning of Pune-Hyderabad Section of NH-65 from Km 493/0 to Km 524/0 from Sangareddy X Roads to Madinaguda in the State of Telangana,Roads & Highways,morth,Telangana,1297.75,45.85,85.4,Critical,needs 53.2%/month to hit current date
618098,"Upgradation of exhisting 2 lane flexible pavement to 2 lane paved shoulders rigid pavement from design chainage Km 66.00 to Design Km 82.440 Start of Kolhapur Municipal corporation near Phulewadi to kale, design length 16.440 Km section on Talere Gaganbawada-Kolhapur road NH 166G in the state of Maharashtra on EPC mode",Roads & Highways,morth,Maharashtra,167.97,93.75,85.3,Critical,"2.2y past original commissioning date; already rescheduled, 2.3y slip declared; needs 6.1%/month to hit current date"
618199,"Rehabilitation, Upgradation & Widening of existing Highway to Rigid Pavement 2 Lane with Paved Shoulder of NH 965DD from Lonand Shirval-Bhor Mandangad-Pchral Section ShindewadiPhata to Varandah Ghat Dist Border from Km 33/550 to 92/550 in the state of Maharashtra on EPC mode.",Roads & Highways,morth,Maharashtra,723.13,53.5,85.0,Critical,needs 15.4%/month to hit current date
618198,Balance work of Rehabilitation and Up-gradation to 2-lane road with paved shoulders configuration for NH- 965DD from Pacharal-Mandangad-Mhapral-Rajewadi Upto Junction of NH-66 Ch-22700 to 75100 Km and Ambadave connector Birth place of Dr. Babasaheb Ambedkar Ch-0000 to 7325 Km length Km 59.725 in the state of Maharashtra on EPC mode. Balance Work,Roads & Highways,morth,Maharashtra,341.69,93.07,85.0,Critical,"2.5y past original commissioning date; already rescheduled, 2.6y slip declared; needs 6.8%/month to hit current date"
618178,Widening and strengthening of Gangakhed to Kingaon section of NH-752K in Km 38/750 to 72/304 Flexible Pavement Length33.554 km to 2-lane configuration on EPC mode in the State of Maharashtra.,Roads & Highways,morth,Maharashtra,162.67,72.0,84.7,Critical,1 months past original date; needs 9.3%/month to hit current date
619076,Six Laning of Vijayawada Bypass from Chinna Avutapalli to Gollapudi in Vijayawada - Gundugolanu Section from km. 0.00 to km. 30.00 Pkg-III,Roads & Highways,nhai,Andhra Pradesh,1883.71,98.2,84.6,Critical,"3.4y past original commissioning date; already rescheduled, 3.6y slip declared; cost already revised +19%"
618155,Development/Widening of Talegaon Chakan Shikrapur Nhavara Section of NH-548D from existing chainage km. 54/000 to 82/300 and Design chainage Km. 54/000 to 82/120 Shikrapur to Nhavara Section to 2LPS/4L Configuration on EPC Mode in the State of Maharashtra.,Roads & Highways,morth,Maharashtra,396.17,76.2,84.5,Critical,needs 11.7%/month to hit current date
618868,4L from Devinagar Bypass End Existing Km. 208.000 of NH 530B/Design Km. 66.000 to Kasganj Bypass End Existing Km.150.100 of NH 530B/ Design Km. 123.100 of NH 530B,Roads & Highways,nhai,Uttar Pradesh,2223.71,77.0,84.4,Critical,1 months past original date
618686,Outer Ring Road of Jabalpur Town from Kushner to Amjhar Road including Airport Connectivity Pkg-IV,Roads & Highways,nhai,Madhya Pradesh,509.82,79.63,83.7,Critical,4 months past original date; needs 5.0%/month to hit current date
619211,6L of MH/KN Border Nimbal Village to KN/TS Border Singnodi Village from Km. 97.000 to Km. 162.500 in Yadgir of NH-150C Pkg-III,Roads & Highways,nhai,Karnataka,2065.83,73.9,83.6,Critical,9 months past original date; needs 6.5%/month to hit current date
618693,Bodhre - Dhule,Roads & Highways,nhai,Maharashtra,1292.7,97.69,83.5,Critical,"24 months past original date; already rescheduled, 2.1y slip declared"
617976,Work of development and construction of elevated corridorfrom km 38/660 to km 42/690 Iscon junction to start point of approach of sanand flyover of NH-147 in the sate of Gujarat,Roads & Highways,morth,Gujarat,530.2,90.0,83.5,Critical,1 months past original date
619073,4L of 42.000 to km 80.00 of Dodaballapur Bypass to Hoskote section of NH-648 Old NH-207 [Bangalore Ring Road Pkg 2],Roads & Highways,nhai,Karnataka,1846.52,99.2,83.5,Critical,"3.4y past original commissioning date; already rescheduled, 3.6y slip declared; cost already revised +40%"
619109,6L of Badakumari - Karki Section from Km 179.000 to km 226.500 of NH-130-CD Package OD-3,Roads & Highways,nhai,Odisha,1374.43,99.7,83.2,Critical,"2.2y past original commissioning date; already rescheduled, 2.3y slip declared; cost already revised +25%"
618923,4L Behsuma at Km 39.250 Ex. Km 39240 To Bijnor at Km 78.810 Ex. Km 86590 Design Length 39.560 Km of NH-119 Pkg-II,Roads & Highways,nhai,Uttar Pradesh,2553.12,70.12,83.2,Critical,2 months past original date; cost already revised +18%; needs 5.9%/month to hit current date
619214,4L of Channarayapatna Bypass and Hassan Bypass with structures in Devihalli - Hassan section,Roads & Highways,nhai,Karnataka,684.54,82.34,83.1,Critical,"3.5y past original commissioning date; already rescheduled, 3.8y slip declared; needs 5.8%/month to hit current date"
618477,Bangalore Chennai Expressway Phase-III Package I Gudipala to Walajajhpet from Km 156.000 to Km 180.000,Roads & Highways,nhai,"Multi-States (Andhra Pradesh, Tamil Nadu)",1481.87,99.02,83.0,Critical,"2.2y past original commissioning date; already rescheduled, 2.3y slip declared"
618082,Widening & Upgradation to four lane configuration from Km.34.900 Bhadohi to km.73.134 Jaunpur of NH-135A on EPC mode,Roads & Highways,morth,Uttar Pradesh,392.03,95.0,83.0,Critical,"2.2y past original commissioning date; already rescheduled, 2.3y slip declared"
618413,Construction of 2 laning with Hard shoulder of Peren-Dimapur section on NH 129A from Design Km 146.208 to Km 163.592 Length- 17.384 km in the state of Nagaland on EPC mode under NHO-TSP Package-III,Roads & Highways,nhidcl,Nagaland,199.02,95.62,82.8,Critical,13 months past original date; cost already revised +12%
618231,Rehabilitation and Upgradation to 2-lane configuration of Hamirpur-Karnohal Section km 141.00 to 181.00 of NH-70 in the State of Himachal Pradesh under Green National Highways Corridor Project GNHCP with the loan assistance of World Bank on EPC mode.Package-1,Roads & Highways,morth,Himachal Pradesh,371.93,93.62,82.7,Critical,19 months past original date
618844,Viluppuram Km.0.000 to Puducherry Km.29.000,Roads & Highways,nhai,"Multi-States (Puducherry, Tamil Nadu)",1162.44,98.32,82.6,Critical,"2.7y past original commissioning date; already rescheduled, 2.8y slip declared"
618841,4L Elevated Section and at-grade improvements at Begusarai town Simaria - Khagaria section from Km. 221.047 to Km. 225.302 of NH-31,Roads & Highways,nhai,Bihar,348.38,95.72,82.6,Critical,19 months past original date
618862,Bakhtiyarpur-Rajauli Pkg-III from km. 101.630 to km.152.520,Roads & Highways,nhai,Bihar,3046.61,99.14,82.6,Critical,"2.1y past original commissioning date; already rescheduled, 2.2y slip declared; cost already revised +41%"
618409,Widening & Up-gradation to 2 lane with Paved shoulder of NH-301 Kargil- Zanskar Road from Design km 57.000 Ex. Km. 57.905 to Km 87.000 Ex. Km. 88.2491 of 30.000 Km length Pkg-lll,Roads & Highways,nhidcl,Ladakh,381.01,91.01,82.5,Critical,"3.5y past original commissioning date; already rescheduled, 3.6y slip declared; needs 8.8%/month to hit current date"
618735,4L of Chandesara to Khedakhajuriya from Km. 0.000 to - 750 & Km 0.000 to km 41.400 of NH-148NG Pkg-I,Roads & Highways,nhai,Madhya Pradesh,976.55,99.0,82.4,Critical,"2.2y past original commissioning date; already rescheduled, 2.3y slip declared"
618169,Construction of Two Lane with paved shoulder highway from Design Ch.0.000 to Ch.49.2OO of NH-731B on EPC Mode,Roads & Highways,morth,Uttar Pradesh,602.76,98.0,82.3,Critical,8 months past original date
618845,Puducherry Km.29.000 to Poondiyankuppam Km.67.000,Roads & Highways,nhai,"Multi-States (Puducherry, Tamil Nadu)",1415.9,98.75,82.2,Critical,"2.7y past original commissioning date; already rescheduled, 2.8y slip declared"
618859,"Improvement and Up-Gradation of Existing Road to 4L PS from Km 229.070 to 260.800, End of Hardoi District to Lucknow Ring road of NH 731 Pkg-4",Roads & Highways,nhai,Uttar Pradesh,553.61,99.33,82.2,Critical,21 months past original date
619199,Bangalore Chennai Expressway Phase-II Pkg-I from km.71.000 to Km 96.000 Bethamangala in the state of Karnataka to Byreddypalli,Roads & Highways,nhai,"Multi-States (Andhra Pradesh, Karnataka)",1410.01,99.2,82.1,Critical,21 months past original date
618061,"Strengthening, Widening & Up-gradation of newly declared NH-761 from NH- 61Junction-BelheAlkutiDevibhoyareNighojShirur, from Design chainage Km 0.000 to Km 37.970 from Single/Intermediate/2L to 2LPS in the State of Maharashtra on EPC Mode Length 37.970 Km",Roads & Highways,morth,Maharashtra,386.16,62.5,82.0,Critical,needs 18.4%/month to hit current date
618407,Jammu-Akhnoor Road Pkg-I,Roads & Highways,nhidcl,Jammu and Kashmir,245.3,75.29,81.9,Critical,18 months past original date; needs 8.2%/month to hit current date
618520,4L of km 0.00 to km 42.00 of Dobbaspet to Doddaballapura Bypass section of NH-648 old NH-207] [Bangalore Ring Road Pkg 1],Roads & Highways,nhai,Karnataka,1786.57,99.2,81.9,Critical,"3.2y past original commissioning date; already rescheduled, 3.4y slip declared; cost already revised +24%"
618173,Shirur-Kharda section from 55937 km to 114486 km to 2LPS/4L,Roads & Highways,morth,Maharashtra,381.77,83.93,81.7,Critical,"7.1y past original commissioning date; already rescheduled, 7.2y slip declared; needs 15.8%/month to hit current date"
618470,Vadodara Mumbai Expressway Phase II - Pkg XIV [Km. 3.000 to Km. 20.200 of Spur] Shirsad - Akloli,Roads & Highways,nhai,Maharashtra,2324.72,98.0,81.7,Critical,"2.2y past original commissioning date; already rescheduled, 2.3y slip declared; cost already revised +13%"
618678,6L Greenfield Baunsaguar - Baraja Section of NH-130-CD Road from km 293000 to km 338500 Package OD-6,Roads & Highways,nhai,Odisha,1635.44,99.6,81.5,Critical,"2.2y past original commissioning date; already rescheduled, 2.3y slip declared; cost already revised +29%"
618186,"Rehabilitation and Up-gradation of Valigonda to Thorrur Section to Two Lane with Paved Shoulders from Km 39.180 to Km 108.300 of NH-930P in the State of Telangana on Engineering, Procurement and Construction EPC Basis",Roads & Highways,morth,Telangana,549.28,94.97,81.5,Critical,19 months past original date
618905,Widening with additional 3L abetting Chhapra Bypass Section of NH-19 from Km. 143.200 to Km. 159.255 Pkg-1,Roads & Highways,nhai,Bihar,528.48,77.28,81.5,Critical,cost already revised +12%; needs 7.5%/month to hit current date
618889,"4L of Bhangbar Near Ranital to Kangra Bypass Section of Old NH-88 New NH- 303,503 up to Intersection with NH-154 from Km 175.270 to Km 193.400 Pkg-VB",Roads & Highways,nhai,Himachal Pradesh,1829.49,97.45,81.4,Critical,19 months past original date; cost already revised +38%
619203,Vadape to Thane from km 539.202 to km 563.000 section of NH-3 new NH-848,Roads & Highways,nhai,Maharashtra,1371.27,87.0,81.4,Critical,"5.0y past original commissioning date; already rescheduled, 5.3y slip declared"
618634,6L of Veera Kaveri Raja Puram to Pondavakkam from km 61.380 to km 96.040 of NH 716B Pkg-III,Roads & Highways,nhai,"Multi-States (Andhra Pradesh, Tamil Nadu)",1439.77,98.89,81.2,Critical,18 months past original date
618395,"Construction & Upgradation to 2-lane with paved shoulder from Design Ch. Km 51700 at Premnagar km 66315 to Km 66535 New Thatri at Start of Km 83rd, Tunnel Km 82665 of 14.835 Km design length on Chenani-Sudhmahadev-Goha Khellani- Kishtwar-Vailoo Donipawa-Ashajipora section of NH-244 in the UT of J&K on EPC Mode under NHO-Gen Pkg - 2",Roads & Highways,nhidcl,Jammu and Kashmir,512.43,53.49,81.2,Critical,"3.4y past original commissioning date; already rescheduled, 3.7y slip declared; needs 15.4%/month to hit current date"
618895,Kamalapuram to Oddanchatram from km. 0.00 to km. 35.822,Roads & Highways,nhai,Tamil Nadu,1319.42,93.6,81.1,Critical,"3.5y past original commissioning date; already rescheduled, 3.7y slip declared"
618085,Upgradation of Nasrullagani-Rehti-Budhni Scction to 2-lane with paved shoulder from Km 0150 to Km 50500 of NH-146B in the state of Madhya Pradesh on EPC mode.,Roads & Highways,morth,Madhya Pradesh,293.74,92.33,81.1,Critical,21 months past original date
617958,Widening & Strenthening from km132.895 to km 190.15 NH-80,Roads & Highways,morth,Bihar,566.1,73.21,80.9,Critical,20 months past original date; needs 6.6%/month to hit current date
618163,"Rehabilitation and Up-gradation from km. 0000 to km.40390 of NH-730S MaharajganjNichloulThuthibari to two lane with paved shoulders in the State of U.P. on Engineering, Procurement & Construction EPC Basis.",Roads & Highways,morth,Uttar Pradesh,603.19,59.5,80.8,Critical,7 months past original date; needs 8.1%/month to hit current date
