project_code,project_name,sector,agency,state,cost_cr,physical_progress_pct,risk_score,tier,why
N24001539,IMPHAL - KHONGSANG PKG-6,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,504.76,78.25,87.0,Critical,agency's own forecast is 3 months past its approved date; 4 months past original date; pace is 44% of what the current date needs
N24001861,CONSTRUCTION OF BYPASS TO KHORDHA TOWN FROM KM 294/000 TO 300/300 ON NH-57 INCLUDING LA IN THE STATE,ROAD TRANSPORT AND HIGHWAYS,MORTH,ODISHA,157.49,54.0,86.8,Critical,7 months past original date; pace is 19% of what the current date needs; date already moved 3x in 10 months
N24001528,WIDENING OF PACHPADRA-BAGUNDI SECTION TO 4 LANE FROM KM 73/60 TO 95/70 OF NH-25 ON EPC MODE IN THE,ROAD TRANSPORT AND HIGHWAYS,MORTH,RAJASTHAN,194.88,83.0,86.8,Critical,6 months past original date; pace is 30% of what the current date needs; date already moved 3x in 10 months
N18000352,TRANSMISSION SYSTEM FOR KURNOOL WIND ENERGY ZONE SOLAR ENERGY ZONE (AP) PART-A PART B,POWER,PGCIL,MULTI STATE,3546.94,94.0,86.7,Critical,"agency's own forecast is 10 months past its approved date; 7 months past original date; already past planned completion, no revised pace available"
N24001453,IMPHAL - KHONGSANG PKG-4,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,579.63,72.5,86.6,Critical,agency's own forecast is 5 months past its approved date; 18 months past original date; pace is 7% of what the current date needs
N24001735,6L ACCESS CONTROL GREENFIELD HIGHWAY OF VILL-KHYAWARI TO VILL- LATIFPUR AT SAHARANPUR BYPASS FROM KM,ROAD TRANSPORT AND HIGHWAYS,NHAI,UTTAR PRADESH,1428.19,89.5,86.6,Critical,"agency's own forecast is 11 months past its approved date; 10 months past original date; already past planned completion, no revised pace available"
N24001473,CONSTRUCTION OF 2-LANING WITH HARD SHOULDER ROAD OF UKHRUL - TOLOI - TADUBI SECTION OF NH-102A FROM,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,310.76,96.77,86.5,Critical,agency's own forecast is 4 months past its approved date; 16 months past original date; no physical progress for 3 consecutive reports
N22000583,JANGHAI PRATAPGARH AMETHI DOUBLING,RAILWAYS,NR,UTTAR PRADESH,721.72,70.0,86.2,Critical,agency's own forecast is 9 months past its approved date; agency anticipates +52% over approved cost; 3 months past original date
N24001974,CONSTRUCTION OF 2-LANING WITH HARD SHOULDER ROAD OF UKHRUL - TOLOI - TADUBI SECTION OF NH-102A FROM,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,315.56,88.74,85.5,Critical,5 months past original date; date already moved 3x in 10 months
N18000357,ESTABLISHMENT OF KHAVDA POOLING STATION 3 (KPS3) IN KHAVDA RE PARK,POWER,PGCIL,GUJARAT,922.3,90.5,85.3,Critical,"agency's own forecast is 7 months past its approved date; 6 months past original date; already past planned completion, no revised pace available"
N18000010,TEHRI PUMPED STORAGE PLANT(1000MW),POWER,THDCIL,UTTARAKHAND,4825.6,98.3,85.3,Critical,agency's own forecast is 39 months past its approved date; agency anticipates +70% over approved cost; 14.9y past original commissioning date
N24001573,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N) (PKG-09) (CH. 247.310 TO CH. 292.950) [JUNCTION WITH M,ROAD TRANSPORT AND HIGHWAYS,NHAI,RAJASTHAN,1658.06,99.9,84.6,Critical,2.5y past original commissioning date; no physical progress for 9 consecutive reports; pace is 0% of what the current date needs
N24001443,CONSTRUCTION OF FOUR LANE EXPRESSWAY FROM START OF SARDAR PATEL RING ROAD TO SINDHREJ VILLAGE (CH. 0,ROAD TRANSPORT AND HIGHWAYS,NHAI,GUJARAT,929.95,94.22,84.6,Critical,15 months past original date; pace is 31% of what the current date needs; date already moved 3x in 10 months
N24000784,6-LANING OF KOZHIKODE BYPASS (CALICUT BYPASS) (I.E. VENGALAM JN. TO RAMANATTUKARA JN.) SECTION OF NH,ROAD TRANSPORT AND HIGHWAYS,NHAI,KERALA,2065.95,95.5,84.4,Critical,"agency's own forecast is 7 months past its approved date; 2.3y past original commissioning date; already past planned completion, no revised pace available"
N22000514,DHULE (BORVIHIR)-NARDANA (UMBRELLA WORK),RAILWAYS,CR,MAHARASHTRA,492.76,5.0,84.4,Critical,agency's own forecast is 15 months past its approved date; agency anticipates +135% over approved cost; no physical progress for 9 consecutive reports
N22000489,KHARSIA DHARAMJAIGARH WITH SPUR LINE EAST CORRIDOR-PHASE I,RAILWAYS,IRCON,CHHATTISGARH,3055.0,93.0,84.2,Critical,agency's own forecast is 90 months past its approved date; agency anticipates +13% over approved cost; 6.7y past original commissioning date
N24000723,REHABILITATION AND UPGRADATION OF TWO LANING OF MAHESHKHUNT - SAHARSA - PURNEA SECTION PKG - I,ROAD TRANSPORT AND HIGHWAYS,NHAI,BIHAR,644.5,82.51,84.2,Critical,agency's own forecast is 4 months past its approved date; agency anticipates +13% over approved cost; 3.5y past original commissioning date
N18000374,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART H,POWER,PGCIL,RAJASTHAN,2211.0,69.4,83.9,Critical,"agency's own forecast is 4 months past its approved date; 2 months past original date; already past planned completion, no revised pace available"
N24001734,6L ACCESS CONTROL GREENFIELD HIGHWAY OF VILL-LOHADDA TO VILL- KARAUNDA MAHAJAN FROM KM. 27.000 TO KM.,ROAD TRANSPORT AND HIGHWAYS,NHAI,UTTAR PRADESH,1335.45,85.02,83.9,Critical,"agency's own forecast is 11 months past its approved date; 10 months past original date; already past planned completion, no revised pace available"
N04000078,CONSTRUCTION OF TERMINAL BUILDING AND ASSOCIATED WORKS AT LEH AIRPORT,CIVIL AVIATION,AAI,LADAKH,640.0,65.92,83.1,Critical,3.7y past original commissioning date; pace is 9% of what the current date needs
N24001271,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- 2B),ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,365.53,77.69,82.9,Critical,"agency's own forecast is 4 months past its approved date; 2.8y past original commissioning date; already past planned completion, no revised pace available"
N18000389,TS FOR EVACUATION OF POWER FROM REZ IN RAJASTHAN (20GW) UNDER PH-III PART D [SIKAR KHETRI TRANSMISSI,POWER,PGCIL,RAJASTHAN,2000.0,58.0,82.9,Critical,pace is 27% of what the current date needs
N24001401,IMPHAL - KHONGSANG PKG-3,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,467.0,79.81,82.9,Critical,"agency's own forecast is 7 months past its approved date; 2.3y past original commissioning date; already past planned completion, no revised pace available"
N04000094,DEVELOPMENT OF AYODHYA AIRPORT PHASE-01,CIVIL AVIATION,AAI,UTTAR PRADESH,328.0,99.9,82.7,Critical,agency anticipates +9% over approved cost; 2.5y past original commissioning date; no physical progress for 9 consecutive reports
N18000042,VISHNUGAD PIPALKOTI HYDRO ELECTRIC PROJECT,POWER,THDCIL,UTTARAKHAND,3860.35,71.0,82.5,Critical,agency's own forecast is 165 months past its approved date; agency anticipates +77% over approved cost; 12.0y past original commissioning date
N18000373,"TS FOR EVACUATION OF POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III, PART E1",POWER,PGCIL,RAJASTHAN,688.74,93.0,82.4,Critical,"agency's own forecast is 7 months past its approved date; 4 months past original date; already past planned completion, no revised pace available"
N24001664,SIX LANING OF CHENGALA TO NEELESHWARAM SECTION OF NH-17 (NEW NH-66) FROM CH. 56+200 (EXISTING KM 57+,ROAD TRANSPORT AND HIGHWAYS,NHAI,KERALA,2538.06,79.25,82.4,Critical,"agency's own forecast is 53 months past its approved date; 14 months past original date; already past planned completion, no revised pace available"
N24001269,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- IB),ROAD TRANSPORT AND HIGHWAYS,NHIDCL,ASSAM,241.52,87.02,82.3,Critical,"agency's own forecast is 2 months past its approved date; 3.3y past original commissioning date; already past planned completion, no revised pace available"
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,POWER,PGCIL,RAJASTHAN,2191.0,75.7,82.3,Critical,"agency's own forecast is 5 months past its approved date; 2 months past original date; already past planned completion, no revised pace available"
N24001632,CONSTRUCTION OF FOUR LANE GREENFIELD PROJECT OF DELHI- AMRITSAR-KATRA EXPRESSWAY (PHASE-I PKG-V) FROM,ROAD TRANSPORT AND HIGHWAYS,NHAI,PUNJAB,2281.02,96.5,82.3,Critical,"agency's own forecast is 2 months past its approved date; 13 months past original date; already past planned completion, no revised pace available"
N24001733,6L ACCESS CONTROLLED GREENFIELD HIGHWAY OF JUNCTION OF EPE (VILL.-MAVIKALAN) TO VILL.- LOHADDA FROM K,ROAD TRANSPORT AND HIGHWAYS,NHAI,UTTAR PRADESH,1602.48,94.0,82.3,Critical,"agency's own forecast is 11 months past its approved date; 10 months past original date; already past planned completion, no revised pace available"
N24001662,SIX LANING OF KT/KL BORDER (THALAPPDY) TO CHENGALA SECTION OF NH17 (NEW NH-66) FROM CH. 17.200 TO CH,ROAD TRANSPORT AND HIGHWAYS,NHAI,KERALA,2651.79,97.38,82.2,Critical,"agency's own forecast is 44 months past its approved date; 13 months past original date; already past planned completion, no revised pace available"
N18000250,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT (NERPSIP) FOR SIX (6) STATES,POWER,PGCIL,MULTI STATE,6700.0,96.0,82.2,Critical,"agency's own forecast is 6 months past its approved date; 6.5y past original commissioning date; already past planned completion, no revised pace available"
N16000398,MUMBAI NAGPUR JHARSUGUDA PIPELINE PROJECT,PETROLEUM,GAIL,MULTI STATE,7844.25,95.1,82.2,Critical,2.1y past original commissioning date; pace is 37% of what the current date needs; date already moved 2x in 10 months
N24000739,REHABILITATION AND UP-GRADATION TO 4-LANING OF RAJAMUNDA- BARKOTE SECTION OF NH-23 (NEW NH NO. 143) (,ROAD TRANSPORT AND HIGHWAYS,NHAI,ODISHA,609.03,98.5,82.2,Critical,4.0y past original commissioning date; pace is 35% of what the current date needs; date already moved 3x in 10 months
N24000569,FOUR LANING OF KAGAVADAR - UNA SECTION OF NH-8E FROM KM 139.915 TO KM 180.478 (PACKAGE-IV) IN THE ST,ROAD TRANSPORT AND HIGHWAYS,NHAI,GUJARAT,723.64,97.0,82.2,Critical,"agency's own forecast is 13 months past its approved date; 5.7y past original commissioning date; already past planned completion, no revised pace available"
N22000148,GWALIOR-SEOPURKALA WITH EXTENSION TO KOTA (GC),RAILWAYS,NCR,MULTI STATE,2912.96,0.0,82.0,Critical,agency anticipates +32% over approved cost; 3 months past original date; no physical progress for 9 consecutive reports
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,POWER,PGCIL,MULTI STATE,2218.0,94.1,82.0,Critical,"agency's own forecast is 22 months past its approved date; 19 months past original date; already past planned completion, no revised pace available"
N18000331,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,POWER,PGCIL,MULTI STATE,359.47,90.0,81.8,Critical,"agency's own forecast is 23 months past its approved date; 21 months past original date; already past planned completion, no revised pace available"
N18000337,TRANSMISSION NETWORK EXPANSION IN GUJARAT TO INCREASE ATC FROM ISTS: PART B,POWER,PGCIL,MULTI STATE,4546.26,93.0,81.8,Critical,"agency's own forecast is 27 months past its approved date; 2.0y past original commissioning date; already past planned completion, no revised pace available"
N18000194,BUXAR THERMAL POWER PLANT (1320 MW),POWER,SJVN,BIHAR,10439.09,91.56,81.7,Critical,agency's own forecast is 21 months past its approved date; agency anticipates +38% over approved cost; 17 months past original date
N24000579,FOUR LANING OF GAYA-HISUA- RAJGIRI-NALANDA-BIHARSHARIF SECTION (KM0.00 TO 92.935) ON NH-82 IN BIHAR,ROAD TRANSPORT AND HIGHWAYS,MORTH,BIHAR,1408.85,97.0,81.6,Critical,agency's own forecast is 106 months past its approved date; agency anticipates +52% over approved cost; 8.7y past original commissioning date
N24001563,DEOGARH (NEAR DHANDHANIYA)- RAJASTHAN/GUJARAT BORDER (PHASE-I) (AJ/DRGB-PACKAGE-6),ROAD TRANSPORT AND HIGHWAYS,NHAI,RAJASTHAN,846.59,99.25,81.6,Critical,22 months past original date; pace is 20% of what the current date needs; date already moved 6x in 10 months
N24002106,CONSTRUCTION OF NEW 4 LANE PRAYAGRAJ SOUTHERN BYPASS FROM DESIGN KM 50.860 (NABABA URF NIBI KALA UPA,ROAD TRANSPORT AND HIGHWAYS,NHAI,UTTAR PRADESH,993.77,92.98,81.5,Critical,"agency's own forecast is 7 months past its approved date; 3 months past original date; already past planned completion, no revised pace available"
N22000476,"FATUHA-ISLAMPUR INCL. MM FOR EXTENSION OF NEW LINE FORM BIHARSHARIF-BARBIGHA, DANIYAWAN- BIHARSHARIF,",RAILWAYS,ECR,BIHAR,803.09,90.0,81.5,Critical,agency's own forecast is 26 months past its approved date; agency anticipates +239% over approved cost; 2.3y past original commissioning date
N24000480,FOUR OF SIMARIA - KHAGARIA SECTION OF NH-31,ROAD TRANSPORT AND HIGHWAYS,NHAI,BIHAR,567.0,97.68,81.5,Critical,agency's own forecast is 8 months past its approved date; agency anticipates +13% over approved cost; 6.2y past original commissioning date
N24000834,CONSTRUCTION OF EIGHT LANE VADODARA KIM EXPRESSWAY FROM KM 254.430 TO KM 279.000 (KIM TO ANKLESHWAR,ROAD TRANSPORT AND HIGHWAYS,NHAI,GUJARAT,1738.03,83.0,81.5,Critical,"agency's own forecast is 2 months past its approved date; 3.7y past original commissioning date; already past planned completion, no revised pace available"
N22000629,NAGPUR- NAGBHIR RAILWAY LINE GAUGE CONVERSION PROJECT,RAILWAYS,MRIDC,MAHARASHTRA,1400.0,87.0,81.2,Critical,agency's own forecast is 16 months past its approved date; agency anticipates +70% over approved cost; 12 months past original date
N22000470,"SHAHGANJ-BHATNI-PHEPHNA-INDARA, MAU-SHAHGANJ (EXCL. MAU-INDARA) PATCH DOUBLING.",RAILWAYS,NER,UTTAR PRADESH,1177.96,85.0,81.0,Critical,agency's own forecast is 8 months past its approved date; agency anticipates +82% over approved cost; 6 months past original date
N24000863,WIDENING AND UP-GRADATION TO 2- LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MIZORAM,518.53,97.9,81.0,Critical,agency's own forecast is 23 months past its approved date; agency anticipates +75% over approved cost; 2.0y past original commissioning date
N24001568,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N) (PKG-14) (CH. 388.420 TO CH. 419.000) [JUNCTION WITH N,ROAD TRANSPORT AND HIGHWAYS,NHAI,RAJASTHAN,1119.35,99.8,80.9,Critical,2.1y past original commissioning date; no physical progress for 9 consecutive reports; pace is 0% of what the current date needs
N24000857,WIDENING AND UP-GRADATION TO 2- LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MIZORAM,519.09,97.51,80.8,Critical,agency's own forecast is 24 months past its approved date; agency anticipates +51% over approved cost; 2.2y past original commissioning date
N06000269,NLCIL 300 MW SOLAR POWER PROJECT (PART OF 510 MW CPSU SCHEME),COAL,NLC,RAJASTHAN,1813.0,66.0,80.7,Critical,"agency's own forecast is 14 months past its approved date; 9 months past original date; already past planned completion, no revised pace available"
N22000350,RAMPUR DUMRA - TAL - RAJENDRAPUL DOUBLING INCLUDING GANGA BRIDGE,RAILWAYS,ECR,BIHAR,1491.47,77.0,80.7,Critical,agency's own forecast is 12 months past its approved date; agency anticipates +7% over approved cost; 6 months past original date
N24001274,IMPROVEMENT/UPGRADATION OF EXISTING 2-LANE TO 4-LANE DIVIDED HIGHWAY FROM TAPHOU KUKI TO DAILI SECTI,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,379.39,70.94,80.5,Critical,"agency's own forecast is 6 months past its approved date; 3.2y past original commissioning date; already past planned completion, no revised pace available"
N22000158,DHOLPUR-SIRMUTTRA WITH EXTENSION TO GANGAPURCITY AND MOHARI-TANTPUR AND TANPUR- BANSI PAHARPUR,RAILWAYS,NCR,MULTI STATE,746.83,39.0,80.4,Critical,"agency's own forecast is 94 months past its approved date; 6.3y past original commissioning date; already past planned completion, no revised pace available"
N24000861,WIDENING AND UP-GRADATION TO 2- LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MIZORAM,473.18,95.0,80.2,Critical,agency's own forecast is 24 months past its approved date; agency anticipates +45% over approved cost; 2.2y past original commissioning date
N04000111,CALICUT AIRPORT - DEVELOPMENT OF ADDITIONAL RESA ON EITHER END ON RUNWAY 10-28 AT CALICUT AIRPORT,CIVIL AVIATION,AAI,KERALA,323.98,18.3,80.1,Critical,pace is 5% of what the current date needs
N24000912,WIDENING TO 2LPS FROM 0/0 TO 119/0 OF NH-157 IN THE STATE OF ODISHA.,ROAD TRANSPORT AND HIGHWAYS,MORTH,ODISHA,287.7,98.66,79.9,Critical,agency's own forecast is 106 months past its approved date; agency anticipates +2% over approved cost; 8.3y past original commissioning date
N28000156,REDEVELOPMENT OF GPRA AT NETAJI NAGAR NEW DELHI PACKAGE 2,URBAN DEVELOPMENT,NBCC,DELHI,1536.72,91.5,79.8,Critical,15 months past original date; pace is 43% of what the current date needs; date already moved 3x in 10 months
N24001270,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- 2A),ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,292.24,90.69,79.8,Critical,"agency's own forecast is 3 months past its approved date; 3.0y past original commissioning date; already past planned completion, no revised pace available"
N18000356,TRANSMISSION SYSTEM SCHEME FOR EVACUATION OF POWER FROM REZ RAJASTHAN (8.1 GW) UNDER PHASE-II PART,POWER,PGCIL,RAJASTHAN,1433.28,91.9,79.7,Critical,"agency's own forecast is 12 months past its approved date; 9 months past original date; already past planned completion, no revised pace available"
N24001644,AMRITSAR AIRPORT JUNCTION RAMDAS FROM KM. 100.835 TO KM. 139.813 PKG IV,ROAD TRANSPORT AND HIGHWAYS,NHAI,PUNJAB,416.58,73.0,79.7,Critical,21 months past original date; pace is 3% of what the current date needs; date already moved 2x in 10 months
N24001488,DHARAMPURI-LONAND FROM KM. 117.00 TO 166.40 (PKG-IV) ON MOHOL- ALANDI SECTION,ROAD TRANSPORT AND HIGHWAYS,NHAI,MAHARASHTRA,618.45,96.9,79.5,Critical,"agency's own forecast is 8 months past its approved date; 21 months past original date; already past planned completion, no revised pace available"
N24001400,SENAPATI- IMPHAL PKG-5B,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,211.7,71.06,79.4,Critical,"agency's own forecast is 5 months past its approved date; 2.4y past original commissioning date; already past planned completion, no revised pace available"
N24001519,DELHI VADODARA GREENFIELD ALIGNMENT SECTION OF NH 148N PACKAGE 28,ROAD TRANSPORT AND HIGHWAYS,NHAI,GUJARAT,1198.55,95.78,79.3,Critical,"agency's own forecast is 20 months past its approved date; 19 months past original date; already past planned completion, no revised pace available"
N24001660,SIX LANING OF THALIPARAMBHA- MUZHAPILANGAD SECTION FROM KM 137.900 TO KM. 170.600 OF NH-17 (NEW NH,ROAD TRANSPORT AND HIGHWAYS,NHAI,KERALA,3557.65,72.77,79.2,Critical,agency's own forecast is 7 months past its approved date; 16 months past original date; pace is 10% of what the current date needs
N24001516,DELHI VADODARA GREENFIELD ALIGNMENT SECTION OF NH 148N PACKAGE 27,ROAD TRANSPORT AND HIGHWAYS,NHAI,GUJARAT,1185.69,93.52,79.1,Critical,16 months past original date; pace is 41% of what the current date needs; date already moved 2x in 10 months
N06000152,NEYVELI UTTAR PRADESH POWER PROJECT LIMITED 1980 MW,COAL,NLC,UTTAR PRADESH,21780.94,91.39,79.1,Critical,3.6y past original commissioning date; pace is 32% of what the current date needs; date already moved 2x in 10 months
N24002043,CONSTRUCTION OF 4-LANE GREENFIELD JALBEHRA - SHAHBAD SECTION OF NH ? 152G FROM KM 0+000 TO KM 22+850,ROAD TRANSPORT AND HIGHWAYS,NHAI,HARYANA,1173.66,83.5,79.0,Critical,"agency's own forecast is 4 months past its approved date; already past planned completion, no revised pace available"
N24001354,TAMENGLONG - MAHUR PKG-3,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,234.08,92.82,79.0,Critical,"agency's own forecast is 14 months past its approved date; 2.5y past original commissioning date; already past planned completion, no revised pace available"
220100232,"LALITPUR-SATNA-REWA-SINGRULI NL, (NCR)",RAILWAYS,WCR,MULTI STATE,63.57,43.0,78.8,Critical,agency anticipates +12875% over approved cost; no physical progress for 9 consecutive reports; spend outruns works by 3890pp
